bookId,title,author,isbn
18929,Marcovaldo,"Italo Calvino, William Weaver",9780156572040
3534310,The Adventures of Holly Hobbie,Richard S. Dubelman,9780440001546
1523438,Animal's People,Indra Sinha,9780743259200
44660,The Belgariad Boxed Set: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit / Castle of Wizardry / Enchanters' End Game,David Eddings,9780345340443
202087,The Burning Stone,Kate Elliott,9780886778156
581409,Strega Nona,Tomie dePaola,9788424133498
12981613,Lady of the Shades,Darren Shan,9781409143611
40597810,Daisy Jones & The Six,Taylor Jenkins Reid,9781524798628
32769,At the Mountains of Madness and Other Tales of Terror,H.P. Lovecraft,9780345329455
22030093,Thanks Lil Ren,Joyce Mitchell,9781499769562
9380186,Darkness Unbound,Keri Arthur,9780749954918
13542778,Dire Wants,Stephanie Tyler,9780451238467
2842492,The Cult of the Presidency: America's Dangerous Devotion to Executive Power,Gene Healy,9781933995151
2642070,sTORI Telling,Tori Spelling,9781416950738
7114761,Heart of the Matter,Emily Giffin,9780312554163
23464763,Dreams of My Mothers: A Story of Love Transcendent,Joel L.A. Peterson,9780989527781
14386,If You Dare,Kresley Cole,9781416503590
54597,"The Complete Peanuts, Vol. 3: 1955-1956","Charles M. Schulz, Matt Groening, Gary Groth",9781560976479
9802066,The Borgia Betrayal,Sara Poole,9780312609849
23019029,Listen to the Moon,"Michael Morpurgo, Mike Grady, Laurence Bouvard",9780007591992
27712,The Neverending Story,"Michael Ende, Ralph Manheim, Roswitha Quadflieg",9780525457589
13226173,The Infernal Devices: Clockwork Angel,"Cassandra Clare, Hye-Kyung Baek, Hyekyung Baek",9780316200981
3098445,Avatar Volume 8: The Last Airbender,"Michael Dante DiMartino, Bryan Konietzko",9781427811448
43961,The Letters of Vita Sackville-West and Virginia Woolf,"Louise DeSalvo, Mitchell Alexander Leaska, Vita Sackville-West, Virginia Woolf",9781573441964
192954,The Towers of Trebizond,"Rose Macaulay, Jan Morris",9781590170588
11913095,Learning How To Eat (Again),Brian V. Menard,9781463555986
60141,Stormbringer,Michael Moorcock,9780441787548
6940642,Aliens in the Prime of Their Lives,Brad Watson,9780393057119
21449526,Assuming Names: A Con Artist's Masquerade,Tanya Thompson,9781311789785
968868,The Book of the New Sun,Gene Wolfe,9781568658070
325128,Kidnapped,Robert Louis Stevenson,9780439295789
16282614,Rugrats In Paris: The Movie,"Cathy East Dubowski, Mark Dubowski",9780743414913
914608,Treasure Island,"Deidre S. Laiken, A.J. McAllister, Robert Louis Stevenson",9780866119580
3675828,Long Lost,Harlan Coben,9780525951056
969566,In Between,Jenny B. Jones,9781600060984
268565,Santa's Twin,"Dean Koontz, Phil Parks",9780060572235
89656,C is for Corpse,Sue Grafton,9780312939014
82999,People of the Silence,"Kathleen O'Neal Gear, W. Michael Gear",9780812515596
114437,Address Unknown,Kathrine Kressmann Taylor,9780743412711
9826719,The Beggars Opera,John Gay,9781170027752
610718,Jennie,"Paul Gallico, Bob Haberfield",9780140019421
1844205,Web of Wind,J.F. Rivkin,9780441878833
862779,My Lover's Lover,Maggie O'Farrell,9780142004616
1042320,Red is Best,"Kathy Stinson, Robin Baird Lewis",9781554510511
643483,Henryk Grossman and the Recovery of Marxism,Rick Kuhn,9780252073526
915957,A Spy by Nature,Charles Cumming,9780312366353
11557,Swan Song,Robert R. McCammon,9780671741037
100485,Troll: A Love Story,"Johanna Sinisalo, Herbert Lomas",9780802141293
420416,Sword Play,Linda Joy Singleton,9780738708805
179594,The Highlander's Last Song,"George MacDonald, Michael R. Phillips",9780871236586
67377,The Love Poems of Rumi,"Rumi, Deepak Chopra, Fereydoun Kia",9780712670401
311980,The Fifth Vial,Michael Palmer,9780312343514
655601,Divine Madness,Robert Muchamore,9781416927242
4835838,11 Birthdays,Wendy Mass,9780545052399
431323,Finders Keepers,Fern Michaels,9780821776698
817501,On Having No Head: Zen and the Rediscovery of the Obvious,Douglas E. Harding,9781878019196
13060189,Bleeding Out,Jes Battis,9781937007638
129527,Silent Night,"J.D. Robb, Susan Plunkett, Dee Holmes, Claire Cross",9780515123852
107318,The Far Country,Nevil Shute,9781842322512
5303373,The Chosen One,Carol Lynch Williams,9780312555115
11309018,The Lost Stories,John Flanagan,9780399256189
867248,Bear Snores On,"Karma Wilson, Jane Chapman",9780689831874
28873,"Dragonology (Ologies, #1)","Dugald A. Steer, Ernest Drake, Wayne Anderson, Helen Ward, Douglas Carrel",9780763623296
7061,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,9781400034772
23002906,Awful Auntie,David Walliams,978000794445
4025200,The Unincorporated Man,"Dani Kollin, Eytan Kollin",9780765318992
6488057,Big Machine,Victor LaValle,9780385527989
16127265,Massive: The Higgs Boson and the Greatest Hunt in Science: Updated Edition,Ian Sample,9780753541531
7165300,The Black Prism,Brent Weeks,9780316075558
977145,Designated Targets,John Birmingham,9780345457141
6961797,Henrys Freedom Box,"Ellen Levine, Kadir Nelson",9784790251941
417729,"Dreamsongs, Volume I","George R.R. Martin, Gardner Dozois",9780553805451
484550,Gallant Bride,Jane Peart,9780310670018
21307056,Extraordinary Tales,"Jorge Luis Borges, Adolfo Bioy Casares, Anthony Kerrigan",9789500302876
130028,Moon Tiger,Penelope Lively,9780802135339
1297150,Sword Song,Bernard Cornwell,9780060888640
21430091,Rain,Shaun Harbinger,9781496063526
2157243,Playing with Fire,Derek Landy,9780061240881
10199908,The Measure of the Magic,Terry Brooks,9780345484208
7024,The Coming of Hoole,Kathryn Lasky,9780439795692
2299685,Darkness Everlasting,Alexandra Ivy,9780821779392
9436632,Vanish,Sophie Jordan,9780061935107
9319468,Kingpin: How One Hacker Took Over the Billion-Dollar Cybercrime Underground,Kevin Poulsen,9780307588685
298663,The Killer Inside Me,Jim Thompson,9780679733973
6757498,Katharine the Almost Great Uses Her Common Cents,"Lisa Mullarkey, Phyllis Harris",9781602705791
93779,Freeze Tag,Caroline B. Cooney,9780590456814
936699,The Middle East Bedside Book,Tahir Shah,9780863040351
13495219,ReVamped,Ada Adams,9781470068981
12002819,The Flight of Gemma Hardy,Margot Livesey,9780062064226
888947,The Last Man Alive,A.S. Neill,9780805510768
4955576,Smoke Mountain,Erin Hunter,9780060871284
440419,Love Among the Walnuts,Jean Ferris,9780152015909
1824217,Mrs. Jeffries Takes the Cake,Emily Brightwell,9780425165690
773459,"Crescent Moon, Vol. 1","Haruko Iida, Nan Rymer, Stuart Hazleton, Maitreya Andrews",9781591827924
13516050,King City,Brandon Graham,9781607065104
228220,The House of Thunder,"Leigh Nichols, Dean Koontz",9780425132951
17262155,Mad About the Boy,Helen Fielding,9780345807953
2043412,Hope's Boy: A Memoir,Andrew Bridge,9781401303228
9503,Saving Fish from Drowning,Amy Tan,9780345464019
104355,Jinian Footseer,Sheri S. Tepper,9780812556100
647597,Lullaby,Ed McBain,9780743470742
4961571,Whispers of the Dead,Simon Beckett,9780593055274
30112,America Alone: The End of the World As We Know It,Mark Steyn,9780895260789
367687,Mischief,"Amanda Quick, Jayne Ann Krentz",9780553588675
414895,Planet of the Apes,"Pierre Boulle, Xan Fielding",9780345447982
3702423,The School for Dangerous Girls,Eliot Schrefer,9780545035286
16099189,The Light in the Ruins,Chris Bohjalian,9780385534819
866402,The Planiverse: Computer Contact with a Two-Dimensional World,A.K. Dewdney,9780387989167
87804,Yes Man,Danny Wallace,9781416918349
60218,I'm In No Mood For Love,Rachel Gibson,9780060773175
392583,"The Pathans, 550 B. C. A. D. 1957",Olaf Caroe,9780195772210
12832413,Anything: The Prayer That Unlocked My God and My Soul,Jennie Allen,9780849949487
83412,A Judgement in Stone,Ruth Rendell,9780375704963
28184,Blue Shoes and Happiness,Alexander McCall Smith,9781400075713
67141,Contempt,"Alberto Moravia, Angus Davidson, Tim Parks",9781590171226
28953118,Thus Bad Begins,"Javier Marias, Margaret Jull Costa",9781101946084
38568,A Quick Bite,Lynsay Sands,9780060773755
16137839,Nailed: Ten Christian Myths That Show Jesus Never Existed at All,David Fitzgerald,9780557709915
109692,The Three Fat Men,Yury Olesha,9780898754162
18775247,Mr. Mercedes,Stephen King,9781476754451
24932397,Love from Paris,Alexandra Potter,9781444712179
6046158,The Way of the Warrior,Chris Bradford,9781423118718
2337398,Eighteenth-Century Clothing at Williamsburg,"Linda Baumgarten, Linda Bumgarten",9780879351090
78876,Maskerade,Terry Pratchett,9780575058088
20767943,Black Death in a New Age,Kathy T. Kale,9780983686651
50453,Hot Water Music,Charles Bukowski,9780876855966
28691932,The Forgetting,Sharon Cameron,9780545945219
17184229,The Founding,Dan Abnett,9781849703321
161651,Emily Post's Etiquette,"Peggy Post, Emily Post",9780066209579
16130601,Golden State,Stephanie Kegan,9781476709314
1295006,Tristaine Rises,Cate Culpepper,9781933110509
22324683,Six of Hearts,L.H. Cosway,9781500392789
17332968,Reality Boy,A.S. King,9780316222709
450784,The Tale of the Four Dervishes of Amir Khusru,Amina Shah,9780900860447
76373,The Luckiest Girl in the World,Steven Levenkron,9780140266252
372100,The Foundations of Arithmetic: A Logico-Mathematical Enquiry into the Concept of Number,"Gottlob Frege, J.L. Austin",9780810106055
7619,The Time Quartet Box Set,"Madeleine L'Engle, Peter Sis",9780440360377
29254,Be Here Now,"Ram Dass, Richard Alpert",9780517543054
1078076,Deep Six,Clive Cussler,9780671503734
416580,The Seventh Scroll,Wilbur Smith,9780312957575
107792,Gentle Warrior,Julie Garwood,9780671737801
47774,Gallows Hill,Lois Duncan,9780440227250
43684,The Assassins of Tamurin,S.D. Tower,9780380806218
4912857,The Angel's Game,"Carlos Ruiz Zafon, Lucia Graves",9780385528702
71683,Uniform Justice,Donna Leon,9780142004227
298381,Angels and Insects,A.S. Byatt,9780679751342
21851827,Dog Days of Summer,P.J. Fiala,9781595983244
85958,The Indwelling,"Tim LaHaye, Jerry B. Jenkins",9780842329293
2320431,Fruit for Tomorrow,Francena H. Arnold,9780310202226
30259893,Ragdoll,"Daniel Cole, Conny Losch",9781409168744
559899,Essential Brakhage: Selected Writings on Filmmaking,"Stan Brakhage, Bruce McPherson",9780929701646
13147885,Manhunt: The Ten-Year Search for Bin Laden--from 9/11 to Abbottabad,"Peter L. Bergen, Mark Deakins",9780307969552
10147914,Hunting Human,Amanda E. Alvarez,9781426891434
16033880,Finding Abigail,Carrie Ann Ryan,9781623220259
18618842,The Camelot Code,Sam Christer,9780751550917
22855313,Arkadia,Dzintra Sullivan,9781503084988
77538,The Fate of the Earth,Jonathan Schell,9780380613250
431386,Trading Places,Fern Michaels,9780743457941
1165534,Outlaw Blues: A Book of Rock Music,"Paul Williams, Michael Lydon",9780934558358
3231403,The Candy Bombers: The Untold Story of the Berlin Airlift and America's Finest Hour,Andrei Cherny,9780399154966
35220,The Red Badge of Courage,Stephen Crane,9781580495868
3867,The History of Love,Nicole Krauss,9780393328622
3488375,Wait Till Your Vampire Gets Home,Michele Bardsley,9780451225504
13131,The 6th Target,"James Patterson, Maxine Paetro",9780316014793
6366371,You Are Here: Discovering the Magic of the Present Moment,"Thich Nhat Hanh, Sherab Chodzin Kohn",9781590306758
16001893,Down to You,Michelle Leighton,9781301716722
6319898,Sacrifice,"Alex Archer, Jon F. Merz",9780373621361
2218252,Rumors,Anna Godbersen,9780061345692
1384924,Scruncher Goes Wandering,Tessa Krailing,9780764105746
10658664,The Love Verb,Jane Green,9780141038643
547281,Reforming Marriage,Douglas Wilson,9781885767455
585024,The Soundscape: Our Environment and the Tuning of the World,R. Murray Schafer,9780892814558
315425,In Defense of Food: An Eater's Manifesto,Michael Pollan,9781594201455
26248,Beyond the Curve,"Kobo Abe, Juliet Winters Carpenter",9784770016904
529582,The Demon Awakens,R.A. Salvatore,9780345421623
7519179,Rose of Soweto: The Dingaan Thobela Story,Deon Potgieter,9780143026150
12437907,Silence,"Michelle Sagara, Michelle Sagara West",9780756407421
15953857,A Plato Reader: Eight Essential Dialogues,"Plato, C.D.C. Reeve",9781603848114
8599748,Trust in Advertising,Victoria Michaels,9781936305292
18192663,Knight & Day,Kitty French,1230000199780
19275608,Darkness Falls,Keri Arthur,9780451419606
17183049,Adi Parva - Churning of the Ocean,Amruta Patil,9789350294161
885500,The Tale of Tom Kitten,Beatrix Potter,9780723247777
225590,Just a Hint - Clint,Lori Foster,9780758203403
14739062,The Sacred Sword,Scott Mariani,9781847561985
9754997,Uniform Behaviour,"Lucy Felthouse, Cassandra Carr, Indigo Skye, Lexie Bay, Victoria Blisse, Jack Delaney, Shermaine Williams, Madeline Elayne",9781849896573
571942,Dixie City Jam,James Lee Burke,9780786889006
15852481,Beautiful Creatures : The Official Illustrated Movie Companion,Mark Cotta Vaz,9780316245197
33774,Running in Heels,Anna Maxted,9780060988258
374380,The Duke's Children,"Anthony Trollope, Dinah Birch",9780140433449
43037,"The Call of the Wild, White Fang and Other Stories",Jack London,9780192835147
174845,Life Together: The Classic Exploration of Christian Community,Dietrich Bonhoeffer,9780060608521
670339,The Extraordinary Adventures of Alfred Kropp,Rick Yancey,9781582346939
883674,Charlie's Victory: An Autobiography,"Charlie Wedemeyer, Gregg Lewis",9780310577102
13115995,Everbound,Brodi Ashton,9780062071163
1203812,Sunset Song,Lewis Grassic Gibbon,9780862411794
10586317,Envy,Gregg Olsen,9781402789571
12643015,"Daredevil, Volume 1","Mark Waid, Paolo Rivera, Greg Rucka, Marcos Martin, Muntsa Vicente, Emma Rios, Kano, Joe Rivera",9780785152378
7054123,The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,9781594202438
7984373,Annabel,Kathleen Winter,9780887842368
429024,The Old Curiosity Shop,"Charles Dickens, Norman Page",9780140437423
25179,Blankets,Craig Thompson,9781891830433
18481271,Unite Me,Tahereh Mafi,9780062327963
13155247,"Message to Adolf, Part 1","Osamu Tezuka, Kumar Sivasubramanian",9781935654438
22168240,Grace's Guide: The Art of Pretending to Be a Grown-up,Grace Helbig,9781476788005
205662,The Only Living Witness: The True Story of Serial Sex Killer Ted Bundy,"Stephen G. Michaud, Hugh Aynesworth",9781928704119
13529,March,Geraldine Brooks,9780143036661
30518319,A Dangerous Collaboration,Deanna Raybourn,9780451490735
16687549,Out of the Darkness: My Journey of Recovery From Life With a Monster,Tina Nash,9781471114663
136542,Gaia's Garden: A Guide to Home-scale Permaculture,ToHemenway,9781890132521
20983366,Wayfarer,Alexandra Bracken,9781484715765
12987640,Imagine: How Creativity Works,Jonah Lehrer,9780547386072
41473851,Get Out of Town,Micol Ostow,9781338289480
17929776,The Air I Breathe,Holly Blackstone,9780989191234
17332564,How to Love,Katie Cotugno,9780062216359
12661,Chesapeake,James A. Michener,9780812970432
9303574,"The Art of Immersion: How the Digital Generation Is Remaking Hollywood, Madison Avenue, and the Way We Tell Stories",Frank Rose,9780393076011
550343,The Ladies of Missalonghi,Colleen McCullough,9780060157395
289728,The Pursuit,Lori Wick,9780736909129
18975547,Voluptuous Vindication,Rose Wynters,9781494437794
6780439,Dark Visions,L.J. Smith,9781847386823
612143,Heretics,G.K. Chesterton,9780486449142
8092497,A Good Horse,Jane Smiley,9780375862298
1058636,The In Death Collection: Books 16-20,"J.D. Robb, Susan Ericksen",9781423306290
31337,Blackwood Farm,Anne Rice,9780099446729
2547974,The Ultimate Treasure Hunt: A Guide to Supernatural Evangelism Through Supernatural Encounters,Kevin Dedmon,9780768426021
238463,Eve Green,Susan Fletcher,9780393327984
3240765,The Manchester Man,Isabella Varley Banks,9780859720540
36373,John Caldigate,"Anthony Trollope, N. John Hall",9780192828170
6539576,"Boys, Girls, and Other Hazardous Materials",Rosalind Wiseman,9780399247965
16006,Paradise,Judith McNaught,9780743474160
12836009,Natural Order,Brian Francis,9780385671545
8542839,Fire Burn and Cauldron Bubble,H.P. Mallory,9781452365862
311909,Politics Out of History,Wendy Brown,9780691070858
13358039,Unique,Alison Allen-Gray,9780192753359
15713696,Darkness Avenged,Alexandra Ivy,9781420111385
13230186,Crying for Help: The Shocking True Story of a Damaged Girl with a Dark Past,Casey Watson,9780007436583
11899389,Birthday King,Gabriel Fielding,9780451024404
334801,True Colors,Karen Traviss,9780345498007
3428935,The Warded Man,Peter V. Brett,9780345503800
66678,Exile,R.A. Salvatore,9780786939831
13147230,The Long Earth,"Terry Pratchett, Stephen Baxter",9780062067753
12842828,Keeper of the Lost Cities,Shannon Messenger,9781442445932
8550844,Fortune's Fool,Mercedes Lackey,9780373802661
595405,Heart's Delight,Per Nilsson,9780689876776
20930200,Shift,Jeff Povey,9781471118685
532974,Top Ten Greek Legends,"Terry Deary, Michael Tickner",9780439086189
1019332,As I Walked Out One Midsummer Morning,"Laurie Lee, Leonard Rosoman",9780140033182
34964971,Our Little Secret,Roz Nay,9781250160812
168568,Naked Prey,John Sandford,9780743468695
18718606,Finding Home,J.W. Phillips,9781311955500
22567177,Tower of Thorns,Juliet Marillier,9780451467010
270100,Mother Nature: Maternal Instincts and How They Shape the Human Species,Sarah Blaffer Hrdy,9780345408938
360625,"Mary, Called Magdalene",Margaret George,9780142002797
1180893,King of the City,Michael Moorcock,9780380795031
9645351,Darkfire Kiss,Deborah Cooke,9780451233493
23878,Chronicle of a Death Foretold,"Gabriel Garcia Marquez, Gregory Rabassa",9781400034710
26690,Coyote Dreams,C.E. Murphy,9780373802722
5983694,Where the Mountain Meets the Moon,Grace Lin,9780316114271
22200,Count Zero,William Gibson,9780441013678
13003565,The Invaders,John Flanagan,9780399256202
45276694,"The Quintessential Quintuplets, Vol. 7",Negi Haruba,9784065132500
8496929,Fifth Seal,Bodie Thoene,9780842375184
6992777,I Will Wait for You: Eternal Bliss,Linda Masemore Pirrung,9780595419586
17669067,A Dance of Cloaks,David Dalglish,9780316242394
8664353,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,9781400064168
11044367,Taken,Erin Bowman,9780062117267
842355,Silent Night,Mary Higgins Clark,9780671000424
220682,The Pleasures of the Damned,"Charles Bukowski, John Martin",9780061228438
551520,The Wisdom of Insecurity: A Message for an Age of Anxiety,Alan W. Watts,9780394704685
1535134,The Snail on the Slope,"Arkady Strugatsky, Boris Strugatsky",9780553131970
12445556,Deadly Reunion,Amy Manemann,9781463692674
60926,Lilith's Brood,Octavia E. Butler,9780446676106
6464833,The Guinness Book Of Names,Leslie Dunkling,9780851126692
548118,The Darling Buds of May,H.E. Bates,9780140016024
5206937,A Modest Proposal,Jonathan Swift,9781605977270
446,The Brooklyn Follies,Paul Auster,9780312426231
796809,Tigers In The Mud: The Combat Career of German Panzer Commander Otto Carius,Otto Carius,9780811729116
32527,Alone,"Lisa Gardner, Anna Fields",9780553584530
472331,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",9780930289232
6329337,Hallowed Circle,Linda Robertson,9781439156780
74532,George's Marvellous Medicine,"Roald Dahl, Quentin Blake",9780224064903
428537,The Sonnets and A Lover's Complaint,"William Shakespeare, John Kerrigan",9780140436846
49614,Nostradamus Ate My Hamster,Robert Rankin,9780552143554
201874,The Rossetti Letter,Christi Phillips,9781416527374
17707499,Vanished: The Sixty-Year Search for the Missing Men of World War II,Wil S. Hylton,9781594487279
15733523,The Krishna Key,Ashwin Sanghi,9789381626689
7815817,The Emerald Storm,Michael J. Sullivan,9780982514535
59091,Tobacco Road,"Erskine Caldwell, Lewis Nordan, David Fredenthal",9780820316611
20734410,Brainwashed,Paul Aertker,9781940137117
30123368,My Blood Approves,Amanda Hocking,9781533089540
709882,The Skylark of Space,"E.E. ""Doc"" Smith",9781434400536
1934283,Extinction,Ray Hammond,9780330485968
246274,Cold Hit,Linda Fairstein,9780671019556
334291,All Alone in the Universe,Lynne Rae Perkins,9780380733026
26075634,The Improbable Wonders of Moojie Littleman,Robin Gregory,9780463149287
13575605,The Silver Door,Emily Rodda,9781862919136
199786,Ninth Key,"Jenny Carroll, Meg Cabot",9780060725129
3244406,Once Were Cops,Ken Bruen,9780312384401
357,The Long Dark Tea-Time of the Soul,Douglas Adams,9780671742515
197132,The Collected Poems,"Sergei Yesenin, Gregory Brengauz",9780970580306
7831608,Maybe This Time,Jennifer Crusie,9780312303785
13543005,The First Prophet,Kay Hooper,9780515152883
7776209,The Rational Optimist: How Prosperity Evolves,Matt Ridley,9780061452055
469901,Mr. Perfect,Linda Howard,9780743482882
13079,Skinny Dip,Carl Hiaasen,9780446615129
3609760,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,9780316043137
484714,Goldfish Have No Hiding Place,James Hadley Chase,9781842321034
1694501,The Heart of Enterprise,Stafford Beer,9780471948377
40158,The Queen of Attolia,Megan Whalen Turner,9780060841829
77489,The Black Book,Ian Rankin,9780312976750
69935,Nice Work,David Lodge,9780140133967
109508,The Veteran,Frederick Forsyth,9780312983420
5122453,Letting Go,Philip Roth,9780671736163
1264696,Evermore,Lynn Viehl,9780451222848
11881560,Ghosts of Rosewood Asylum,Stephen Prosapio,9781936593101
16060716,Lair of Dreams,Libba Bray,9780316126045
551876,Tikki Tikki Tembo,"Arlene Mosel, Blair Lent",9780312367480
5598819,The Secret Year,Jennifer R. Hubbard,9780670011537
13157992,Kiss Me Slowly,Amber Lea Easton,978619265196
10338691,Cocktail Hour Under the Tree of Forgetfulness,Alexandra Fuller,9781594202995
25893681,Becoming Nicole: The Transformation of an American Family,Amy Ellis Nutt,9780812995411
18419,The Kissing Hand,"Audrey Penn, Ruth E. Harper, Nancy M. Leak",9781933718002
18131200,Indians in Pakistan,Vivek Pereira,9789351261575
11080437,Drifters Volume 1,Kohta Hirano,9781595827692
687278,When Things Fall Apart: Heart Advice for Difficult Times,Pema Chodron,9781570623448
3735283,B Is for Beer,Tom Robbins,9780061687273
23174601,Pocketful of Poesies,Toula Mavridou-Messer,9781499153668
233044,The Shop on Blossom Street,Debbie Macomber,9780778321606
345660,Summers at Castle Auburn,Sharon Shinn,9780441009282
339352,Lazar Malkin Enters Heaven: Stories,Steve Stern,9780815603566
243427,Diary of Saint Maria Faustina Kowalska: Divine Mercy in My Soul,Maria Faustyna Kowalska,9781596141100
484667,When the Devil Holds the Candle,"Karin Fossum, Felicity David",9780156032124
6435893,I Kill Giants,"Joe Kelly, J.M. Ken Niimura",9781607060925
30244,The Killing Dance,Laurell K. Hamilton,9780425209066
7565545,Captured by Moonlight,Nancy Gideon,9781439149652
25663637,When We Collided,Emery Lord,9781619638457
2277444,The Last Oracle,James Rollins,9780061230943
5356,The King of Torts,John Grisham,9780385339650
74700,Fantasia: An Algerian Cavalcade,"Assia Djebar, Dorothy S. Blair",9780704326101
21491731,Alpha,Jasinda Wilder,9781941098110
26114291,Ghost Talkers,Mary Robinette Kowal,9780765378255
402022,The Golden Mean,Nick Bantock,9780811802987
1010711,The Case of the Vanishing Boy,Alexander Key,9780671560065
782614,Down Came the Rain: My Journey Through Postpartum Depression,Brooke Shields,9781401301897
9513722,Rage of the Fallen,"Joseph Delaney, Patrick Arrasmith",9780062027566
7670,The Andromeda Strain,Michael Crichton,9780060541811
19161888,Pop. 1280,Jim Thompson,9780316403788
15854532,Too Hurt to Stay: The True Story of a Troubled Boy’s Desperate Search for a Loving Home,Casey Watson,9780007436620
479572,"Anarchy, State, and Utopia",Robert Nozick,9780465097203
16307045,Salvation,Erica Stevens,9781484010679
1754074,Heathcliff In Outer Space,Laura Rose,9780816712649
775973,Eclipse,Cate Tiernan,9780142301104
24774,Clockwork,"Philip Pullman, Leonid Gore",9780439856232
13365532,Rise,Andrea Cremer,9780399159602
6507760,Dark Origins,"Anthony E. Zuiker, Duane Swierczynski",9780525951254
156182,The Tunnel,William H. Gass,9781564782137
830238,The Boer War,Thomas Pakenham,9780380720019
37530,Erotism: Death and Sensuality,"Georges Bataille, Mary Dalwood",9780872861909
407942,"I, The Divine: A Novel in First Chapters",Rabih Alameddine,9780393323566
1556130,"Homemade Money: Starting Smart: How to Turn Your Talents, Experience, and Know-How Into a Profitable Homebased Business Thats Perfect for You!",Barbara Brabec,9780871319982
24394424,Trust the Focus,Megan Erickson,9780698194625
16248196,The Art of Thinking Clearly,Rolf Dobelli,9780062219688
427062,Shadow,K.J. Parker,9781841490199
101172,The Pugilist at Rest,Thom Jones,9780316473040
