bookId,total_copies,available_copies
36544372,3,3
7320740,2,0
622855,5,2
9525402,6,6
1316617,7,6
19506,3,2
32951,4,3
7801690,3,3
13271555,9,2
8909,6,4
923993,9,3
17149158,9,6
6905480,5,5
28815,3,2
393147,5,1
30076608,8,6
11468029,5,4
2059338,6,6
2371356,2,1
24001095,8,1
13411928,2,1
297044,3,3
1611988,4,1
13049069,7,6
23312637,9,7
15972,6,4
6699199,2,2
789812,7,0
1838612,1,0
200137,5,0
2712887,9,2
21841757,2,2
18153991,8,7
239922,6,6
57891,5,0
12715291,7,0
1201328,6,5
186682,2,2
6690630,4,2
400598,8,2
1165358,1,0
6540352,9,3
6368611,6,4
2888926,4,3
32106,2,0
92581,8,1
4821605,5,1
161661,7,1
144204,2,1
7540934,3,0
1558556,1,0
165818,1,1
76679,5,2
13574710,8,6
872789,2,0
395875,2,1
156630,4,2
6014608,9,6
759511,3,1
10353049,7,2
825750,8,0
9696745,6,0
32234,9,6
6531211,7,5
365990,3,3
164723,7,6
18693704,2,0
246279,8,3
267334,7,3
10564870,5,5
13507796,1,1
13547111,6,0
34138475,4,4
4495772,8,2
16299700,8,4
34930815,4,1
23848190,6,5
246853,2,0
775864,6,3
972476,9,2
1691271,6,2
94318,1,0
293555,7,1
124983,5,2
12406076,4,0
16069262,2,0
4617762,8,0
2857200,2,2
13421433,4,3
895295,1,1
9998,1,1
6452731,6,6
10454418,4,4
18079492,3,2
21755125,4,0
6480781,2,2
6828896,9,4
9386880,4,1
6065179,4,0
21805399,4,1
2327958,6,2
1523598,3,2
36010223,1,0
23269588,5,2
9761911,3,0
1142145,3,3
95382,9,4
16925847,5,2
104734,3,0
30242931,2,2
7891973,1,0
108914,3,1
39020,1,0
40795,6,4
1058582,4,0
20821284,6,6
9712492,1,1
626685,3,0
50877,5,1
308581,1,1
835589,3,2
443327,7,0
10852303,9,4
15898640,2,0
974742,2,0
1047113,8,0
15774784,8,0
38876,6,3
45730501,9,7
329866,2,0
2767052,8,8
396329,9,2
7046495,4,1
943402,1,1
17905477,9,3
7303068,5,1
1608094,8,7
5312125,1,1
20601983,1,0
869068,8,7
6148028,7,6
7670714,7,5
12592780,2,1
13432620,8,4
295910,8,7
4143812,2,1
330306,2,0
25829156,6,3
51606,3,1
7470248,2,1
2255,3,2
52677419,5,3
2981154,9,3
25351826,6,2
132609,7,5
11021735,9,4
3423364,5,4
17666976,8,1
22529151,9,4
32601841,7,7
112749,2,0
303454,2,0
46182,9,6
12131142,4,3
10660836,7,6
573326,8,1
367679,4,2
31572149,7,3
43763,6,4
437627,8,3
3416092,7,2
65118,7,4
411475,2,0
547082,6,3
124675,7,0
16210411,6,6
18363243,5,1
17689,6,0
8554005,3,2
9565045,8,0
4714126,2,2
342637,2,0
396929,2,0
28249,2,1
20743633,7,3
34510,2,2
2083991,6,1
759910,3,0
13538641,9,6
1251778,1,0
552894,9,7
227350,9,9
28818623,6,6
53011908,2,2
6760780,7,5
32284715,6,4
12968679,7,2
21432436,1,1
7846759,5,3
162759,5,3
62169,6,1
13499303,2,0
27833670,9,9
3389671,4,0
59660,3,1
399896,8,0
23281177,4,1
17472766,2,1
18884,6,0
204286,9,9
13047567,6,0
65070,2,0
6878541,5,3
13150036,4,2
702308,7,3
13707720,9,9
13105,9,5
17732274,1,1
10209997,5,3
41453702,1,0
228117,3,2
159666,5,1
29430869,5,0
6781956,6,6
18126903,6,5
66693,1,0
36448554,3,3
551280,3,1
6050894,7,2
17320075,2,0
17783163,3,3
62805,1,1
206662,2,2
914487,9,1
97078,4,0
13235427,7,0
109713,7,4
2045155,8,4
311182,6,1
5503,3,3
9923274,6,2
24179521,5,1
170186,6,3
3488337,2,1
1086194,1,1
8592946,3,2
193093,3,1
676098,1,0
30123388,2,2
10801027,5,4
19687,8,6
215693,7,1
511152,8,4
114133,8,2
948526,7,2
31093,5,5
11100788,4,0
112628,9,0
30178659,2,1
25234783,6,5
15799936,7,2
821000,2,0
92845,5,3
826576,8,6
1162710,9,8
1144523,5,1
1048041,1,1
7734702,4,1
6545,7,7
137964,1,0
70239,1,1
1350666,4,4
345396,5,2
10538422,4,3
511257,3,0
1596788,5,0
73090,5,4
445024,6,1
23346643,2,0
101381,1,1
3419519,8,3
97920,7,0
1883838,3,0
14813667,3,0
17297135,7,0
10181799,9,0
289737,4,3
1257996,9,3
50461,9,2
593821,6,2
1090876,2,2
24397689,7,6
6522885,1,1
152838,7,7
380055,1,1
6251309,8,4
13528436,2,1
1139129,6,2
29567845,7,6
1420902,7,1
289644,7,7
12885,5,1
3122173,2,2
248482,7,4
6957498,1,1
705027,6,5
15706711,3,0
390304,8,3
13542868,6,2
16248281,2,1
436061,7,6
10052622,2,2
17977479,4,1
10835992,7,3
158770,7,2
18170039,9,4
6056474,2,1
1178039,7,5
3420,5,5
10860399,6,6
10357575,4,3
50664,6,6
18739485,3,2
270730,2,0
1654709,9,5
6273,2,1
46292,9,6
85418,9,3
6308141,4,2
9606839,6,0
25896387,6,3
153008,3,2
22574709,4,3
144792,2,0
397956,3,2
194462,5,0
1288360,4,4
15808839,3,2
80207,3,0
798615,2,2
16000963,3,3
21796750,8,6
9779094,8,6
17982508,8,5
962767,6,5
252981,6,6
18114594,3,2
224257,8,6
38980,2,1
1171,8,6
509784,8,0
218732,5,0
350870,5,5
17607716,1,0
213105,6,5
109198,9,3
30852,2,1
25689056,5,5
22027599,8,5
4341,8,2
15776719,1,0
149405,1,1
9573401,6,5
381817,5,2
22846570,2,2
149512,2,1
902,9,2
681293,7,1
2286671,8,0
20519000,9,9
23174439,1,0
12474623,8,2
6058,4,1
7124101,6,2
123170,8,1
6462,9,4
12352541,3,2
15309,1,1
16112413,8,7
41940431,2,2
30622633,6,5
25454950,2,1
28600081,9,3
533038,3,3
15873109,1,0
18490684,4,1
475444,8,7
7981382,8,6
9958,9,6
1117634,9,0
124853,3,2
257445,6,0
17668276,6,2
68524,5,1
9957,7,6
2578114,7,4
154091,6,1
6631750,1,0
16377,6,1
9657910,2,2
313260,6,6
386043,2,1
439065,9,0
11961425,7,1
158457,5,1
13639318,5,3
1137215,3,1
1274861,6,1
261604,2,2
13278125,3,1
6919721,6,0
10680329,5,0
1426558,7,3
2097938,3,2
795034,2,2
6892166,5,1
3788053,9,4
438078,7,3
124830,6,4
12898,3,1
36952615,9,2
684911,2,2
20262017,7,5
1063599,9,0
1090695,6,0
442918,1,1
62772,6,4
53925,5,3
13337716,3,1
25061922,4,4
11103746,6,2
6335684,8,0
15701217,4,3
22725443,4,3
772716,3,2
9442092,3,1
5221577,2,2
22215757,5,0
315519,2,2
1673731,9,7
821846,9,8
15547,9,3
6914139,1,1
28193,6,6
6916963,3,3
2612,7,6
158771,3,3
156538,3,0
4783632,3,0
129617,3,3
153875,8,8
283508,1,0
12987977,7,4
2315637,6,2
13183318,4,3
7307503,8,6
13674,5,3
2037406,8,6
6329322,4,4
117019,9,4
181437,4,4
125651,5,1
13533758,8,6
6495359,4,0
1656001,6,5
497499,8,4
1743390,8,3
311643,5,4
1024724,7,6
87280,9,8
7619178,9,2
1404466,7,5
28335696,3,0
20653500,4,4
5756191,3,2
34866611,5,2
543103,1,0
2651902,8,5
7907267,6,6
17826401,9,6
1814843,2,0
16158528,9,9
22518404,2,1
112277,5,1
12882328,2,1
8419647,3,3
1773771,5,4
186837,8,2
43841,9,3
1045912,3,1
9137763,7,5
1212946,2,1
7717157,4,1
596304,8,7
767478,6,1
1309943,1,1
194738,7,6
136171,1,0
19809,7,7
510030,9,0
923856,6,5
72929,4,2
34551009,7,7
21188,2,0
61943,6,1
16141991,4,1
8433044,1,1
15769,6,5
12204117,2,1
698609,6,3
331683,3,3
1564131,3,3
71784,1,0
2355575,5,0
19793,8,5
347698,3,0
9634643,8,4
11354475,8,6
108315,1,0
693172,2,2
11544476,1,0
3607394,5,3
55072,4,4
876360,3,3
15746808,9,2
23215457,9,8
20025,7,6
27326,2,2
668181,5,5
19001,4,4
45630,5,5
1563075,2,2
6381477,1,1
45256,4,4
2848491,7,2
344351,8,4
16076551,2,1
2290563,2,2
106807,8,4
609870,9,0
9642279,1,0
1304519,9,9
10792858,4,2
50831,3,0
207259,5,4
102459,7,6
6178470,1,1
92846,6,3
35063,4,0
19062,7,3
255049,3,2
950018,2,1
46941,9,0
37810456,6,6
15752115,2,2
24380140,9,8
6485092,9,3
5304,9,3
42927050,9,1
2909728,9,8
6696843,1,0
17707673,7,0
378366,8,1
32555,1,1
510070,7,3
568099,6,2
10890463,5,3
216048,1,1
28756,6,4
11378659,2,0
17278153,6,6
24694092,4,1
1193817,2,2
59647,6,6
117835,3,1
66370,1,1
601369,6,3
9077707,9,9
127438,6,6
203818,3,1
944334,8,8
1009886,8,0
23943137,3,0
9514033,3,1
17269359,2,0
22381065,8,0
138811,1,0
7812107,5,3
84030,4,1
74725,1,0
124223,4,4
3100159,1,1
10197857,6,1
11834447,5,0
787062,9,0
6375048,7,2
3133038,9,3
15660,8,1
62446,5,2
77392,1,0
118812,4,1
10255156,5,0
3345806,6,1
11074322,1,0
62005,6,6
880250,5,3
238460,2,2
1103965,6,6
215536,7,3
6752589,7,1
85826,8,4
153592,7,0
17313660,6,4
17283469,3,1
74731,8,1
152057,8,2
17781,6,3
21535019,9,0
265923,5,1
5290503,2,0
25304410,7,1
278794,2,2
8641129,7,6
7445700,3,3
10758214,9,2
77810,5,0
6301671,6,6
30842268,2,0
7090484,2,0
6419,6,4
613994,5,2
2140899,5,4
18400770,8,0
49570871,7,3
2110473,3,0
106197,8,7
56301,6,3
2344214,8,5
26207,1,1
12972654,6,4
13528381,7,0
47586,5,0
293561,1,0
15018642,2,2
21929043,7,1
16123199,6,5
25001951,9,9
57981,3,0
381280,1,1
21323,3,3
4438553,8,5
522776,1,0
12022733,3,1
350791,2,1
6181,4,2
141627,6,4
16074932,6,1
47989,7,4
6437016,1,0
8058301,3,3
40806,8,1
6553,6,2
190344,6,0
6489529,8,5
1164589,2,1
6478245,3,3
384579,9,4
16064396,6,3
9111100,7,1
17788681,6,0
28087,5,3
210435,4,0
13487029,2,2
7099273,1,1
1372600,3,0
17397495,8,2
1457464,9,7
12648447,7,2
24820291,9,8
1404411,2,0
8506085,5,0
113128,5,2
463263,8,0
19181,4,0
6472211,5,4
1955837,8,3
17137673,4,4
3595475,2,0
103525,3,1
33151805,2,1
17244702,8,1
14287,3,1
438492,8,3
769712,2,0
10819494,6,0
18210758,6,3
315039,2,2
1260719,9,0
21776496,9,0
10886612,5,2
8001,5,4
32822135,3,1
1989153,3,1
3276137,6,2
10800955,9,1
565837,4,4
8493643,2,0
77959,4,1
23346358,3,2
99329,4,1
752721,8,7
248682,1,1
655533,6,1
59503,9,5
28096541,6,1
127947,8,0
3047320,9,2
565356,3,0
27039478,2,0
301727,2,0
7277715,5,0
26711723,7,6
21043857,8,7
195016,9,9
7958,7,5
353303,7,4
8707554,2,0
7960053,3,1
18478946,6,1
9503573,2,1
7864437,8,7
871223,8,0
15161,9,1
17268741,6,5
21897475,3,0
7983,9,6
7600924,3,3
238479,3,0
2887157,7,1
49488,9,6
7583,1,1
296264,2,2
1121717,9,8
10335647,3,3
250792,5,5
9922,3,1
502301,3,0
51291,6,1
1622304,4,2
1689153,6,0
74787,9,5
1031422,5,1
16050504,2,2
744260,5,3
12510143,4,2
590560,9,2
317764,5,3
148365,3,3
116231,5,1
257333,9,0
8355689,2,0
495822,9,2
213367,3,0
1198205,3,2
824062,3,0
13505629,6,3
7015318,1,1
18693921,1,0
503019,2,2
17075214,1,0
17601,5,2
99894,4,0
18310407,7,5
82436,1,0
7823592,8,1
25068547,9,9
39934,5,4
140278,5,2
10042039,8,1
12015403,4,0
6989790,7,5
7619076,5,0
17846767,8,7
122731,2,1
68143,1,1
2985500,3,0
154808,8,8
35714190,7,4
16109045,8,8
5602828,8,5
6420578,4,1
7933615,6,4
24910211,3,2
999013,6,3
3334563,6,3
2338189,6,3
5711912,7,0
212332,3,1
579562,6,6
976,9,7
19081403,9,8
10184855,2,1
9998827,6,3
7039742,4,3
706150,8,7
15796469,2,0
764360,5,5
25570870,8,0
1809465,4,4
98532,3,1
34950852,2,0
76929,1,1
9587330,5,3
30364190,7,4
21245,7,4
2255284,4,0
9674335,3,2
21570571,6,4
447383,6,1
79513,4,2
949206,3,2
